Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Applied Scientist,Full-Time,Expert,United States,216000,Medium,2023
Applied Scientist,Full-Time,Expert,United States,184000,Medium,2023
Data Scientist,Full-Time,Expert,United States,190000,Medium,2023
Data Scientist,Full-Time,Expert,United States,145000,Medium,2023
Data Scientist,Full-Time,Expert,United States,226000,Medium,2023
Data Science Practitioner,Full-Time,Expert,United States,198800,Medium,2023
Data Science Practitioner,Full-Time,Expert,United States,122600,Medium,2023
Applied Scientist,Full-Time,Expert,United States,230000,Medium,2023
Applied Scientist,Full-Time,Expert,United States,196000,Medium,2023
Data Scientist,Full-Time,Expert,United States,181500,Medium,2023
Data Scientist,Full-Time,Expert,United States,127000,Medium,2023
Machine Learning Researcher,Full-Time,Intermediate,United States,210000,Small,2023
AI Programmer,Full-Time,Expert,France,120000,Medium,2023
ML Engineer,Full-Time,Expert,United States,385000,Medium,2023
ML Engineer,Full-Time,Expert,United States,245000,Medium,2023
AI Engineer,Full-Time,Intermediate,United States,225000,Medium,2023
AI Engineer,Full-Time,Intermediate,United States,175000,Medium,2023
Data Engineer,Full-Time,Expert,Canada,110019,Medium,2023
Data Engineer,Full-Time,Expert,Canada,86682,Medium,2023
Data Analyst,Full-Time,Expert,United States,131650,Medium,2023
Data Analyst,Full-Time,Expert,United States,105320,Medium,2023
Research Engineer,Full-Time,Expert,United States,210000,Medium,2023
Research Engineer,Full-Time,Expert,United States,151800,Medium,2023
Data Scientist,Full-Time,Expert,United States,147500,Medium,2023
Data Scientist,Full-Time,Expert,United States,112500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,240000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,163200,Medium,2023
Data Analyst,Full-Time,Expert,United States,134200,Medium,2023
Data Analyst,Full-Time,Expert,United States,103200,Medium,2023
Data Analyst,Full-Time,Expert,United States,65000,Medium,2023
Data Analyst,Full-Time,Expert,United States,55000,Medium,2023
Data Scientist,Full-Time,Expert,United States,234000,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,165400,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,127300,Medium,2023
Data Science Manager,Full-Time,Expert,Czechia,107968,Large,2023
AI Engineer,Full-Time,Intermediate,Spain,32811,Large,2023
Data Science Manager,Full-Time,Intermediate,India,38915,Large,2023
Machine Learning Engineer,Full-Time,Intermediate,United States,145000,Medium,2023
